                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0435,                 3.3688,                 1.2906,                      0,                0.42927,                0.26455,                0.25281,                0.16912,                 1.0499,                 2.2208,                 1.2706,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.1863,                 2.5869,                 1.4015,                      0,                0.48024,                0.43877,                0.41329,                0.25048,                 1.2124,                 2.2628,                 1.4102,                      0,               0.039916,              0.0065294,              0.0065294
                      2,                 1.2938,                 2.5321,                 1.4718,                      0,                0.37473,                0.41701,                 0.3407,                0.18275,                 1.4065,                 2.2985,                 1.5887,                      0,              0.0096521,              0.0095989,              0.0095989
                      3,                 1.3927,                 2.6586,                 1.5679,                      0,                0.29983,                0.32072,                0.23641,                0.12136,                 1.5983,                 2.5603,                 1.7993,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.3996,                 2.6417,                 1.5827,                      0,                0.32607,                0.28589,                0.22453,                0.11513,                 1.6469,                 2.6528,                 1.9705,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.4079,                 2.5744,                 1.5889,                      0,                 0.4026,                0.36283,                 0.3242,                0.17605,                  1.479,                 2.2328,                 1.6642,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.3827,                 2.5099,                 1.5745,                      0,                0.37397,                0.37229,                0.32523,                0.17897,                 1.4745,                 2.3472,                 1.6882,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.3519,                 2.3872,                 1.5667,                      0,                0.37832,                0.34325,                0.28887,                0.15044,                 1.5604,                 2.6259,                 1.7537,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.3134,                 2.2984,                 1.5415,                      0,                0.40388,                0.41581,                0.37452,                 0.2159,                 1.3927,                 2.0729,                 1.6251,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.3113,                 2.2226,                 1.5204,                      0,                0.42024,                0.42627,                0.37478,                0.21371,                 1.4208,                  2.189,                 1.6445,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.2936,                 2.1551,                 1.5107,                      0,                0.46537,                0.41031,                0.39827,                 0.2347,                 1.3783,                 2.0238,                  1.602,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.2681,                  2.083,                 1.4992,                      0,                0.49733,                0.41712,                0.43512,                0.25412,                 1.3554,                 1.8958,                  1.569,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.2608,                 2.0375,                 1.4787,                      0,                0.44346,                0.42951,                0.38075,                0.22188,                 1.4082,                 2.1484,                 1.6271,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.2443,                 1.9774,                 1.4727,                      0,                0.50282,                0.45633,                0.45289,                0.27031,                 1.3587,                  1.841,                 1.5811,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.2296,                 1.9122,                 1.4624,                      0,                0.50847,                0.44215,                0.43811,                 0.2558,                 1.3734,                 1.8771,                 1.5789,                      0,               0.007426,               0.007426,               0.007426
                     15,                   1.22,                 1.9015,                 1.4573,                      0,                0.52389,                0.50407,                 0.4958,                0.29969,                 1.3062,                  1.725,                 1.5065,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.1723,                 1.8041,                  1.416,                      0,                0.50728,                0.47099,                0.45933,                0.27585,                  1.316,                  1.785,                 1.5461,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.1933,                 1.7783,                 1.4254,                      0,                0.55117,                0.45964,                0.48879,                0.30146,                 1.3084,                 1.6939,                 1.5139,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.1725,                 1.7497,                 1.4166,                      0,                0.58157,                0.50723,                0.52357,                0.31934,                 1.2905,                 1.6167,                 1.5075,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.1669,                 1.7007,                 1.4086,                      0,                0.57603,                0.51091,                0.53149,                  0.333,                 1.2612,                 1.6005,                 1.4905,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.1717,                 1.7001,                 1.4121,                      0,                0.59598,                0.52224,                0.55157,                0.34467,                 1.2479,                 1.5429,                 1.4582,                      0,               0.006238,               0.006238,               0.006238
                     21,                 1.1256,                 1.6395,                 1.3765,                      0,                0.57327,                0.47514,                0.49116,                0.29964,                 1.3061,                 1.7032,                 1.5324,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.1335,                 1.6105,                  1.379,                      0,                0.60275,                 0.5473,                0.55934,                0.35676,                 1.2434,                  1.514,                 1.4675,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.1174,                 1.5882,                 1.3708,                      0,                0.59309,                 0.5528,                0.57836,                 0.3651,                 1.2262,                 1.4905,                 1.4487,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.0991,                 1.5408,                 1.3515,                      0,                0.62647,                0.55333,                0.58897,                0.37344,                 1.2407,                 1.4812,                 1.4598,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.1057,                 1.5347,                 1.3685,                      0,                0.61381,                0.53855,                0.57701,                0.36336,                 1.2381,                 1.4715,                 1.4594,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.0896,                  1.489,                  1.346,                      0,                0.64084,                0.51944,                0.57098,                0.35783,                 1.2444,                 1.4798,                 1.4556,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.0837,                 1.4715,                 1.3423,                      0,                0.63892,                0.55402,                0.59107,                0.38171,                 1.2122,                  1.424,                 1.4351,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.0634,                 1.4407,                 1.3337,                      0,                0.62448,                0.55627,                0.58638,                0.37706,                 1.2124,                 1.4234,                  1.437,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.0488,                 1.4225,                 1.3266,                      0,                0.63367,                0.55646,                0.58852,                0.37395,                 1.2151,                 1.4024,                 1.4297,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.0453,                 1.3902,                 1.3078,                      0,                0.64564,                0.57211,                0.61245,                0.39709,                 1.1917,                 1.3549,                 1.4162,                      0,               0.004258,               0.004258,               0.004258
                     31,                 1.0498,                 1.4105,                  1.329,                      0,                0.66243,                0.56429,                 0.6218,                0.40534,                 1.1711,                 1.3621,                  1.399,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.0253,                 1.3604,                 1.3101,                      0,                0.63537,                 0.5773,                0.61421,                0.39681,                 1.2116,                 1.3644,                 1.4222,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.0201,                 1.3314,                 1.3014,                      0,                0.66493,                0.56633,                0.62454,                0.40643,                 1.1849,                 1.3319,                 1.4044,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.0218,                 1.3139,                 1.2984,                      0,                0.67784,                0.56404,                0.62334,                0.40928,                 1.1699,                 1.3275,                 1.3874,                      0,               0.003466,               0.003466,               0.003466
                     35,                0.99723,                 1.3019,                 1.2854,                      0,                0.68352,                0.56868,                0.63213,                0.41414,                 1.1686,                   1.32,                 1.3882,                      0,               0.003268,               0.003268,               0.003268
                     36,                 1.0016,                 1.2922,                 1.2874,                      0,                0.67603,                0.56471,                0.62323,                0.40605,                 1.1843,                  1.326,                 1.3983,                      0,                0.00307,                0.00307,                0.00307
                     37,                0.98998,                 1.2483,                 1.2696,                      0,                0.67627,                0.58624,                0.63794,                0.42361,                 1.1598,                 1.2913,                 1.3795,                      0,               0.002872,               0.002872,               0.002872
                     38,                0.97924,                 1.2223,                  1.266,                      0,                0.68435,                0.59414,                0.64796,                0.42984,                 1.1609,                 1.2799,                 1.3842,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.98441,                 1.2272,                 1.2736,                      0,                 0.6785,                0.58665,                0.63391,                0.42127,                 1.1566,                 1.3095,                 1.3771,                      0,               0.002476,               0.002476,               0.002476
                     40,                 0.9258,                 1.1231,                 1.2438,                      0,                  0.668,                0.56507,                0.61955,                 0.4097,                 1.1571,                 1.3666,                 1.3929,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.90606,                 1.0568,                 1.2337,                      0,                0.63163,                 0.5879,                0.61324,                0.40585,                 1.1711,                 1.3188,                 1.3945,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.89595,                 1.0287,                 1.2185,                      0,                0.64675,                0.59804,                0.62943,                0.41517,                 1.1566,                 1.3135,                 1.3914,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.87657,                 1.0147,                  1.202,                      0,                 0.6839,                0.59586,                0.64202,                0.42905,                 1.1443,                 1.2821,                 1.3811,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.86587,                0.97147,                 1.2065,                      0,                0.69106,                0.59238,                0.64883,                0.43078,                 1.1505,                  1.267,                 1.3845,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.86506,                0.95573,                 1.1989,                      0,                0.68331,                0.58911,                0.63697,                0.42121,                 1.1547,                 1.2822,                 1.3845,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.84463,                0.93593,                 1.1857,                      0,                0.69579,                0.58308,                0.64617,                0.43002,                 1.1529,                 1.2799,                 1.3925,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.82828,                0.90491,                 1.1747,                      0,                0.68644,                0.59732,                0.64466,                0.42797,                 1.1476,                 1.2788,                  1.381,                      0,               0.000892,               0.000892,               0.000892
                     48,                0.82299,                0.90012,                 1.1719,                      0,                0.68192,                0.60453,                0.65067,                0.43458,                 1.1367,                 1.2622,                 1.3757,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.81487,                0.88093,                 1.1644,                      0,                0.68956,                0.60238,                0.65193,                0.43815,                 1.1367,                 1.2327,                  1.375,                      0,               0.000496,               0.000496,               0.000496
