                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0525,                 3.4177,                 1.2998,                      0,                0.37147,                0.25517,                0.23658,                0.15417,                 1.0712,                 2.2057,                 1.2923,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.1993,                 2.6157,                 1.4075,                      0,                  0.454,                0.42836,                0.39888,                0.23149,                 1.2928,                 2.2595,                 1.4775,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                 1.3088,                 2.5824,                  1.483,                      0,                0.31001,                 0.2572,                0.17866,                0.09017,                 1.6135,                 3.0804,                 1.8631,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                 1.4155,                 2.7135,                 1.5945,                      0,                0.29105,                0.32254,                0.24016,                0.12019,                 1.5951,                 2.6132,                 1.7888,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4263,                 2.6695,                 1.6072,                      0,                 0.3765,                0.31371,                0.27139,                0.14096,                 1.5504,                 2.3024,                 1.7494,                      0,               0.009703,               0.009703,               0.009703
                      5,                  1.405,                 2.5508,                 1.5938,                      0,                0.34024,                0.36146,                0.28731,                 0.1471,                 1.5443,                 2.4004,                 1.7514,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3915,                 2.4769,                 1.5756,                      0,                0.38707,                0.38187,                0.33239,                0.18125,                 1.4838,                 2.2008,                 1.6773,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3613,                 2.4133,                 1.5631,                      0,                0.39537,                0.36347,                0.31971,                0.17239,                 1.5048,                 2.2368,                 1.6877,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3503,                 2.3502,                 1.5555,                      0,                 0.4227,                 0.4014,                0.35759,                0.20461,                 1.4233,                  2.249,                 1.6341,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3192,                 2.2473,                 1.5246,                      0,                0.44108,                0.42841,                0.38627,                0.21828,                 1.4145,                 2.0571,                 1.6357,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.3152,                 2.1753,                 1.5278,                      0,                0.45903,                0.41841,                0.40413,                0.23123,                 1.3919,                 1.9876,                 1.5985,                      0,               0.009109,               0.009109,               0.009109
                     11,                  1.283,                 2.1334,                 1.5081,                      0,                0.50831,                0.40446,                0.42324,                0.24867,                 1.3661,                 1.9343,                 1.5926,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2903,                 2.1007,                 1.5121,                      0,                0.43065,                0.38898,                0.36951,                 0.2085,                 1.4536,                 2.0772,                 1.6995,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2778,                  2.066,                 1.5055,                      0,                0.52109,                0.39324,                0.41914,                0.24199,                 1.3867,                 1.9486,                 1.6287,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.2564,                  2.018,                 1.4977,                      0,                0.48396,                0.43769,                0.43218,                0.25158,                 1.3873,                 1.9197,                  1.625,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2456,                 1.9446,                 1.4726,                      0,                0.48575,                0.46298,                0.44571,                0.26394,                 1.3466,                 1.8475,                 1.5671,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.2326,                 1.8987,                 1.4687,                      0,                0.53176,                0.45327,                0.45255,                0.26691,                 1.3399,                 1.7655,                 1.5663,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2265,                  1.874,                  1.471,                      0,                 0.5489,                 0.4595,                0.47938,                0.28828,                 1.3362,                 1.7232,                  1.556,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2195,                 1.8131,                 1.4546,                      0,                0.55683,                0.46763,                0.49131,                0.29514,                  1.318,                 1.7091,                 1.5318,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.1929,                 1.7582,                 1.4285,                      0,                0.56973,                0.46956,                0.49557,                0.29857,                 1.3228,                 1.7146,                 1.5478,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1902,                 1.7475,                 1.4393,                      0,                0.52463,                0.50228,                0.50758,                0.31065,                 1.2859,                 1.6483,                 1.5183,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1852,                  1.732,                 1.4268,                      0,                0.59839,                0.49248,                0.51772,                 0.3163,                 1.3157,                 1.6544,                 1.5323,                      0,                0.00802,                0.00802,                0.00802
                     22,                  1.191,                 1.7124,                 1.4296,                      0,                0.58085,                0.50154,                 0.5205,                 0.3097,                 1.3303,                  1.654,                 1.5629,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.1716,                 1.6989,                 1.4199,                      0,                0.59795,                0.53595,                0.54909,                0.33801,                  1.271,                 1.5598,                 1.4873,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.1684,                 1.6449,                 1.4103,                      0,                0.55429,                0.51715,                0.51307,                0.31934,                 1.2771,                 1.6336,                 1.4991,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1497,                 1.6428,                 1.4018,                      0,                0.58893,                0.49586,                0.52711,                 0.3236,                  1.281,                 1.5934,                 1.5112,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.1449,                 1.6002,                 1.3936,                      0,                0.60149,                 0.5293,                0.55636,                0.34998,                 1.2601,                 1.5285,                 1.4852,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.1478,                 1.5706,                 1.4023,                      0,                0.62549,                0.50548,                0.55223,                0.34364,                 1.2816,                 1.5205,                 1.5056,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.1239,                  1.524,                 1.3731,                      0,                0.59796,                0.53247,                 0.5586,                0.34969,                 1.2732,                 1.5025,                 1.4871,                      0,               0.007327,               0.007327,               0.007327
                     29,                  1.138,                 1.5493,                 1.3908,                      0,                0.61841,                0.52429,                0.56274,                0.35633,                 1.2522,                 1.5024,                 1.4812,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.1057,                 1.5304,                 1.3658,                      0,                 0.6233,                 0.5073,                0.55174,                0.34516,                 1.2623,                 1.5342,                 1.4849,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.1222,                 1.5082,                 1.3832,                      0,                0.57931,                0.56109,                0.56736,                0.35987,                 1.2555,                 1.4719,                 1.4754,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.1012,                 1.4626,                 1.3565,                      0,                0.64644,                0.51852,                0.56216,                 0.3571,                 1.2376,                 1.4784,                 1.4633,                      0,               0.006931,               0.006931,               0.006931
                     33,                  1.096,                 1.4739,                 1.3585,                      0,                0.59708,                0.52602,                0.55421,                0.35191,                 1.2527,                  1.525,                 1.4843,                      0,               0.006832,               0.006832,               0.006832
