                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3677,                 4.8732,                 4.1462,                 0.0108,                0.00258,                0.12123,                 0.0018,                0.00054,                 3.1958,                  5.476,                 4.0804,                      0,               0.070096,              0.0033227,              0.0033227
                      1,                 3.3466,                  4.545,                 3.7762,                0.01077,                0.10307,                0.08048,                0.00173,                0.00055,                 3.3944,                    inf,                 4.9287,                      0,                0.04003,              0.0065901,              0.0065901
                      2,                 2.9762,                 4.3506,                 3.3502,                0.01049,                0.05233,                0.06448,                0.00188,                0.00054,                 2.8848,                 4.3151,                 3.3599,                      0,              0.0098981,              0.0097916,              0.0097916
                      3,                 2.5568,                 4.0958,                 2.9661,                0.01041,                0.00294,                0.30118,                0.00723,                0.00234,                 2.7283,                 3.8184,                 3.1727,                      0,               0.009703,               0.009703,               0.009703
                      4,                 2.2446,                 3.8629,                 2.6704,                0.01034,                0.48509,                0.03145,                0.01893,                0.00641,                 2.3089,                  3.534,                 2.8242,                      0,               0.009703,               0.009703,               0.009703
                      5,                 2.0809,                 3.6295,                 2.4948,                0.01017,                0.48379,                0.04371,                0.03394,                0.01333,                 2.1596,                 3.4092,                 2.7009,                      0,               0.009604,               0.009604,               0.009604
                      6,                  2.004,                   3.52,                 2.3999,                0.01017,                0.23733,                0.08828,                0.04169,                 0.0166,                  2.093,                 3.2723,                  2.574,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.9069,                 3.3885,                 2.3277,                0.01004,                0.38647,                0.08562,                 0.0599,                0.02475,                 2.0101,                 3.1578,                 2.4979,                      0,               0.009406,               0.009406,               0.009406
                      8,                  1.869,                 3.3125,                 2.2792,                0.00998,                0.34068,                0.10535,                0.05982,                0.02544,                 1.9629,                 3.1714,                 2.4377,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.8274,                 3.2345,                  2.215,                0.00989,                0.24899,                0.12277,                0.07328,                0.03125,                 1.9821,                 3.1542,                 2.4735,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.7873,                 3.1547,                 2.1828,                0.00989,                0.20536,                0.17343,                0.07128,                0.03327,                 1.8924,                 3.0999,                 2.3418,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.7531,                 3.0946,                 2.1456,                0.00975,                0.25181,                0.15716,                0.10203,                0.04533,                 1.8687,                 2.9774,                 2.3371,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.7429,                 3.0481,                  2.135,                0.00977,                0.20736,                 0.1669,                0.10218,                0.04612,                 1.8675,                 2.9604,                 2.3219,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.7126,                 3.0006,                 2.1033,                0.00984,                0.22459,                0.18728,                0.12629,                0.05883,                 1.8328,                 2.7459,                 2.2622,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.6821,                 2.9375,                 2.0786,                0.00959,                0.25573,                0.18426,                0.13401,                0.06262,                  1.813,                 2.8241,                 2.2553,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.6667,                 2.8831,                 2.0482,                0.00955,                0.18447,                 0.2064,                0.13922,                0.06768,                 1.7828,                 2.7705,                 2.2239,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.6545,                 2.8496,                 2.0395,                0.00951,                0.27299,                0.20523,                0.15914,                0.07763,                 1.7715,                 2.6894,                 2.2014,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.6433,                 2.8064,                 2.0309,                0.00952,                0.27037,                0.22528,                0.16804,                0.08074,                 1.7906,                 2.6327,                 2.2097,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.6206,                 2.7377,                 2.0102,                0.00945,                0.22701,                0.23618,                0.17385,                0.08521,                 1.7699,                 2.6114,                 2.1943,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.6051,                 2.7283,                 1.9853,                0.00945,                0.24307,                0.25968,                0.18511,                0.09295,                 1.7192,                 2.5583,                  2.159,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.5905,                 2.6838,                 1.9774,                0.00934,                0.23238,                0.23236,                0.17612,                0.08711,                 1.7367,                 2.5904,                 2.1756,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.5869,                 2.6688,                 1.9654,                 0.0093,                0.29342,                0.25459,                0.18151,                0.08754,                 1.7421,                 2.5528,                 2.1647,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.5855,                 2.6434,                 1.9667,                0.00931,                0.29339,                0.27004,                0.20222,                0.10395,                 1.7018,                 2.4825,                 2.0993,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.5649,                 2.6063,                 1.9403,                0.00928,                0.34074,                0.27242,                0.21158,                0.10771,                 1.6992,                 2.4306,                 2.1079,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.5553,                 2.5567,                 1.9248,                0.00918,                0.31197,                  0.304,                0.22971,                0.12024,                 1.6544,                 2.4166,                 2.0562,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.5215,                   2.55,                 1.9062,                0.00927,                0.27962,                0.29116,                0.21792,                0.11252,                  1.663,                 2.4352,                 2.0753,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.5237,                 2.5369,                 1.9022,                0.00917,                0.30469,                0.30807,                0.24736,                0.12978,                 1.6547,                  2.351,                  2.045,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.5303,                 2.4884,                 1.9042,                0.00921,                0.33096,                0.29208,                0.24668,                0.13085,                 1.6486,                 2.3277,                 2.0539,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.5201,                 2.4542,                 1.8926,                0.00912,                0.35109,                0.30437,                0.25736,                0.13589,                 1.6469,                 2.3281,                 2.0464,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.5134,                 2.4533,                  1.885,                0.00914,                0.30858,                0.31558,                0.25005,                0.13264,                 1.6394,                 2.3732,                 2.0376,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.4947,                 2.4284,                 1.8716,                 0.0092,                0.30032,                0.31312,                0.24576,                0.13076,                 1.6409,                 2.3192,                 2.0465,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.4936,                 2.3775,                 1.8724,                0.00909,                0.32848,                0.31076,                0.25804,                0.13482,                 1.6448,                 2.3398,                 2.0416,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.4776,                 2.3649,                 1.8563,                0.00908,                0.33004,                0.31355,                0.25756,                0.13724,                 1.6425,                  2.318,                 2.0304,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.4748,                 2.3675,                 1.8445,                 0.0091,                0.34831,                0.33607,                0.28305,                0.15126,                 1.6025,                 2.2003,                 2.0015,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.4633,                 2.3345,                 1.8319,                0.00906,                0.33718,                0.32444,                0.26745,                0.14146,                 1.6178,                 2.3417,                 2.0273,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.4592,                 2.3188,                 1.8371,                0.00911,                0.37809,                0.33576,                0.29935,                0.16058,                 1.5969,                 2.2149,                 1.9983,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.4502,                 2.2954,                 1.8228,                0.00905,                0.34603,                   0.33,                 0.2901,                0.15414,                 1.6113,                  2.226,                 2.0029,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.4439,                 2.2863,                 1.8229,                0.00908,                0.35263,                0.35169,                0.30398,                0.16557,                 1.5622,                 2.1502,                 1.9641,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.4241,                 2.2693,                 1.8099,                0.00904,                0.38411,                 0.3343,                0.30127,                0.16355,                 1.5678,                  2.173,                 1.9685,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.4389,                 2.2579,                 1.8153,                0.00904,                0.36463,                0.34319,                0.30321,                0.16465,                 1.5689,                 2.1665,                 1.9551,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.4271,                 2.2274,                 1.8031,                  0.009,                0.38374,                0.34288,                0.31058,                0.17084,                  1.564,                 2.1521,                 1.9577,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.4075,                 2.1868,                 1.7799,                0.00905,                0.37332,                0.34566,                 0.2988,                0.15989,                 1.5768,                 2.1618,                  1.976,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.4062,                 2.1746,                  1.789,                0.00909,                0.38208,                0.36337,                0.32754,                0.18312,                 1.5569,                 2.0974,                  1.943,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.4093,                   2.18,                 1.7867,                  0.009,                0.40018,                 0.3526,                0.33224,                0.18344,                 1.5561,                 2.1053,                 1.9486,                      0,               0.005842,               0.005842,               0.005842
                     44,                   1.39,                 2.1783,                 1.7786,                0.00896,                0.38673,                0.35845,                0.33479,                0.18916,                 1.5344,                 2.0829,                 1.9372,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.3956,                 2.1483,                 1.7712,                0.00901,                0.42501,                0.35097,                0.33235,                0.18334,                 1.5352,                 2.0731,                 1.9157,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.3846,                 2.1253,                 1.7557,                0.00888,                0.38848,                0.37459,                0.33409,                0.18735,                 1.5356,                 2.0645,                 1.9199,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.3697,                 2.0885,                 1.7581,                0.00891,                0.41353,                0.37101,                 0.3543,                0.19896,                 1.5251,                 2.0537,                 1.9174,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.3771,                 2.0847,                 1.7473,                0.00888,                 0.4244,                0.38285,                0.36214,                0.20729,                 1.5185,                 2.0502,                 1.9183,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.3611,                 2.0842,                 1.7419,                0.00889,                0.41753,                0.36772,                0.35061,                0.19682,                 1.5291,                 2.0435,                 1.9155,                      0,               0.005248,               0.005248,               0.005248
