                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0112,                 3.3415,                 1.2743,                0.01139,                0.54369,                0.28774,                0.30581,                 0.1988,                 1.1771,                 2.1632,                 1.3948,                      0,               0.070096,              0.0033227,              0.0033227
                      1,                 1.1639,                 2.3826,                 1.3696,                0.01123,                0.50821,                0.43127,                0.44062,                0.26109,                 1.3371,                 1.9841,                 1.5339,                      0,                0.04003,              0.0065901,              0.0065901
                      2,                 1.2549,                 2.3697,                 1.4337,                0.01109,                0.35473,                0.30807,                0.26013,                0.13813,                 1.5819,                 2.6128,                 1.7699,                      0,              0.0098981,              0.0097916,              0.0097916
                      3,                 1.3678,                 2.5039,                 1.5374,                0.01098,                0.34221,                0.26768,                0.23088,                0.11928,                 1.6725,                 2.6319,                 1.8431,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.3837,                 2.4802,                 1.5547,                0.01088,                0.35404,                  0.288,                0.24275,                0.12912,                 1.6329,                 2.5551,                 1.8384,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.3658,                 2.3743,                 1.5454,                0.01069,                0.42983,                0.33251,                0.31936,                0.17233,                 1.5398,                 2.1871,                 1.7426,                      0,               0.009604,               0.009604,               0.009604
                      6,                  1.361,                 2.3477,                  1.539,                0.01072,                0.43042,                0.29091,                0.27397,                0.14704,                 1.6188,                  2.517,                 1.8566,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3231,                 2.2473,                 1.5185,                0.01058,                0.40333,                0.36778,                0.32298,                0.17859,                 1.4878,                 2.1355,                 1.6801,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3121,                 2.1655,                 1.5073,                0.01051,                0.47199,                0.37319,                0.37359,                0.21391,                 1.4319,                 2.0216,                  1.621,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.2867,                  2.085,                 1.4855,                0.01038,                 0.4574,                0.32318,                0.31133,                0.16274,                 1.6917,                 2.4202,                 2.0518,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.2748,                 2.0309,                 1.4773,                0.01036,                 0.4814,                0.40266,                0.39983,                0.22876,                 1.4225,                  1.911,                 1.6331,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2469,                 1.9729,                 1.4612,                0.01024,                0.54319,                0.44251,                0.46586,                0.27575,                 1.3701,                 1.7408,                 1.5443,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2542,                 1.9253,                 1.4588,                0.01017,                0.50908,                0.41929,                0.42145,                0.24315,                 1.4472,                 1.9297,                 1.6498,                      0,               0.008911,               0.008911,               0.008911
                     13,                  1.245,                 1.8982,                 1.4572,                0.01022,                0.55856,                0.45006,                0.47516,                0.28539,                 1.3362,                 1.7263,                 1.5472,                      0,               0.008812,               0.008812,               0.008812
                     14,                  1.224,                   1.85,                 1.4447,                   0.01,                0.55046,                0.42822,                 0.4542,                0.26639,                 1.3971,                 1.8653,                 1.5975,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2086,                 1.7984,                 1.4292,                0.00999,                0.57676,                0.47294,                0.50153,                0.30307,                 1.3619,                 1.7496,                 1.5924,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.1966,                 1.7271,                  1.415,                0.00991,                0.57073,                0.48324,                0.50707,                0.30644,                 1.3278,                 1.6164,                 1.5237,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.1922,                 1.7368,                 1.4209,                0.00992,                0.59704,                0.49364,                 0.5237,                0.31795,                 1.3345,                 1.5937,                 1.5389,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.1766,                 1.6591,                 1.4011,                0.00978,                0.56508,                0.49796,                  0.512,                0.31845,                 1.3087,                 1.6176,                 1.5086,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.1542,                 1.6098,                 1.3796,                0.00971,                0.56763,                0.47513,                0.49475,                0.29643,                 1.3889,                 1.7133,                 1.5995,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1575,                  1.598,                 1.3922,                0.00962,                0.58723,                0.44161,                0.47517,                0.28404,                 1.3953,                 1.7212,                 1.5947,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1526,                 1.5726,                 1.3812,                0.00951,                0.59304,                0.47241,                0.51548,                0.31545,                 1.3321,                   1.62,                 1.5304,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.1636,                 1.5681,                   1.39,                0.00935,                0.60921,                0.51051,                0.54647,                0.32902,                 1.3133,                 1.5769,                 1.5132,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.1317,                 1.5498,                 1.3668,                0.00928,                0.62923,                0.53451,                0.56927,                0.35652,                 1.2858,                  1.492,                 1.4816,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.1297,                 1.4975,                 1.3545,                0.00909,                0.63569,                0.54417,                0.58302,                0.36284,                 1.2626,                 1.4456,                 1.4718,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1076,                 1.4979,                 1.3506,                0.00918,                0.59781,                0.53242,                0.56214,                0.35566,                 1.2729,                 1.4867,                 1.4682,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.1046,                 1.4555,                 1.3409,                0.00897,                0.61315,                0.50516,                0.55182,                0.34632,                 1.3021,                 1.5279,                 1.5153,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.1069,                  1.433,                 1.3481,                0.00892,                 0.6055,                0.53781,                0.56544,                0.35513,                 1.2698,                 1.4519,                 1.4603,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.0814,                 1.4013,                 1.3233,                0.00878,                0.63168,                0.53284,                0.57353,                0.35791,                   1.28,                 1.4486,                 1.4775,                      0,               0.007327,               0.007327,               0.007327
                     29,                    1.1,                 1.4115,                 1.3385,                0.00882,                0.62832,                0.53273,                0.57297,                0.35795,                  1.275,                 1.4633,                 1.4645,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.0796,                 1.3839,                 1.3255,                0.00871,                0.64284,                0.53852,                0.58424,                0.36929,                 1.2607,                 1.4161,                 1.4673,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.0735,                 1.3429,                 1.3275,                0.00855,                0.62479,                  0.567,                0.59062,                0.37307,                 1.2705,                 1.4288,                 1.4815,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.0654,                 1.3302,                 1.3183,                0.00842,                0.64263,                0.55394,                0.59217,                0.38392,                 1.2419,                 1.4012,                 1.4575,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.0585,                 1.3343,                 1.3118,                 0.0084,                0.63067,                0.56038,                0.58863,                0.37258,                 1.2572,                 1.4268,                 1.4728,                      0,               0.006832,               0.006832,               0.006832
                     34,                  1.061,                 1.3074,                 1.3103,                0.00835,                0.63003,                0.54727,                0.58649,                0.37165,                  1.267,                  1.449,                 1.4676,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.0395,                 1.2982,                 1.3036,                0.00827,                0.66516,                0.54398,                0.59928,                0.38685,                 1.2431,                 1.3817,                 1.4494,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.0356,                 1.2517,                 1.2888,                0.00813,                0.63359,                 0.5713,                0.61041,                0.39322,                  1.224,                 1.3356,                 1.4246,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.0313,                 1.2575,                 1.2933,                0.00815,                0.64666,                0.55598,                0.59741,                0.38387,                 1.2556,                 1.4332,                 1.4649,                      0,               0.006436,               0.006436,               0.006436
                     38,                  1.027,                 1.2679,                 1.2925,                0.00809,                0.66224,                0.56355,                0.61273,                0.39646,                 1.2273,                 1.3605,                 1.4405,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.0252,                 1.2359,                 1.2853,                0.00806,                0.65818,                 0.5403,                0.58752,                0.37114,                 1.2615,                 1.4097,                  1.468,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.0158,                 1.2198,                  1.277,                0.00799,                0.68768,                0.56915,                0.62992,                0.41378,                 1.2161,                  1.332,                 1.4247,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.0024,                  1.193,                 1.2689,                0.00808,                0.65809,                0.56654,                0.61073,                0.39224,                 1.2325,                 1.3435,                 1.4358,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0042,                 1.1781,                 1.2695,                0.00796,                0.66815,                0.54832,                0.60727,                0.39506,                   1.23,                 1.3592,                 1.4349,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.99736,                 1.1915,                 1.2717,                0.00787,                0.66715,                0.56531,                0.61362,                0.40147,                  1.209,                 1.3352,                  1.422,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.98513,                 1.1858,                  1.265,                0.00783,                0.67119,                0.54892,                0.60699,                0.40081,                 1.2205,                 1.3585,                 1.4369,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.99273,                 1.1555,                 1.2595,                0.00789,                 0.6723,                0.56657,                0.61994,                 0.4028,                 1.2396,                 1.3124,                 1.4404,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.97263,                 1.1303,                 1.2408,                0.00771,                0.71152,                0.56101,                0.63084,                0.41317,                  1.208,                 1.2958,                  1.421,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.96874,                 1.1109,                 1.2427,                0.00767,                0.70595,                0.56428,                0.62622,                0.40836,                 1.2015,                 1.2816,                 1.4087,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.97558,                 1.1089,                 1.2378,                0.00779,                0.68874,                0.56085,                0.61849,                0.40748,                 1.2082,                 1.3018,                 1.4209,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.96128,                 1.0963,                 1.2364,                 0.0076,                0.65465,                0.58687,                0.62321,                0.40844,                  1.219,                 1.3109,                 1.4359,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.96425,                 1.1074,                 1.2397,                0.00764,                0.65987,                0.58809,                0.62364,                0.40943,                 1.2099,                 1.3109,                 1.4135,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.95845,                 1.0859,                 1.2385,                0.00763,                0.70549,                0.57367,                0.64194,                0.42373,                  1.207,                 1.2841,                 1.4111,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.94682,                 1.0663,                 1.2242,                0.00762,                0.67236,                0.57942,                0.62299,                0.40885,                 1.2041,                 1.2905,                 1.4143,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.93952,                 1.0655,                 1.2246,                0.00764,                0.68325,                0.59837,                0.63743,                0.42323,                 1.1966,                 1.2525,                 1.4061,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.94169,                  1.052,                 1.2251,                0.00754,                0.67114,                0.61796,                0.65418,                0.43112,                 1.1995,                 1.2541,                 1.4087,                      0,               0.004753,               0.004753,               0.004753
                     55,                 0.9331,                 1.0334,                 1.2094,                0.00746,                 0.6674,                0.61131,                0.64528,                0.42763,                 1.1971,                 1.2521,                 1.4063,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.92089,                 1.0149,                 1.2108,                0.00755,                0.71779,                0.58458,                0.65028,                0.43328,                 1.1865,                 1.2571,                 1.4048,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.91871,                 1.0069,                 1.2059,                0.00752,                0.67856,                0.59628,                0.64473,                 0.4234,                 1.1923,                 1.2606,                 1.4093,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.91612,                 1.0034,                 1.2074,                0.00746,                0.69784,                0.59371,                0.64893,                0.43381,                 1.1859,                 1.2375,                 1.4021,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.90861,                0.98985,                  1.197,                0.00748,                 0.6603,                0.61025,                0.64398,                0.42804,                  1.189,                  1.245,                  1.408,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.90612,                0.98018,                 1.2008,                0.00733,                0.69134,                0.59245,                0.64214,                0.42669,                 1.1837,                 1.2386,                 1.3983,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.89894,                0.97866,                 1.1961,                0.00745,                0.66822,                0.60486,                 0.6372,                0.42191,                 1.1885,                 1.2393,                 1.4072,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.89955,                0.98198,                 1.1963,                0.00739,                0.68525,                0.59707,                0.64036,                0.42542,                 1.1958,                 1.2524,                 1.4088,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.88278,                0.97014,                 1.1848,                0.00733,                0.69666,                0.59846,                0.65159,                0.43098,                 1.1824,                 1.2205,                  1.403,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.88538,                0.95353,                 1.1848,                0.00736,                0.69281,                0.58726,                0.64428,                0.43019,                 1.1898,                 1.2329,                  1.406,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.87893,                 0.9581,                 1.1812,                0.00734,                0.69308,                0.60111,                0.65043,                0.43607,                  1.178,                  1.227,                 1.4003,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.89186,                 0.9489,                 1.1885,                0.00735,                0.69582,                0.60033,                 0.6568,                0.43972,                  1.192,                 1.2261,                 1.4073,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.87467,                0.94115,                 1.1749,                0.00732,                0.70983,                0.60333,                0.66197,                0.44659,                 1.1914,                 1.2222,                 1.4198,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.86207,                0.91949,                 1.1728,                 0.0073,                0.72031,                0.59031,                0.66084,                0.44673,                  1.176,                 1.2169,                 1.3984,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.86181,                0.91559,                 1.1747,                0.00726,                 0.7198,                0.59337,                0.65681,                0.43986,                 1.1815,                 1.2104,                  1.398,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.85685,                0.90747,                  1.167,                 0.0073,                0.70399,                 0.5917,                0.64662,                0.43508,                 1.1823,                  1.223,                 1.4143,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.85013,                0.88755,                 1.1574,                0.00722,                 0.7245,                0.58577,                0.65267,                0.43973,                 1.1849,                 1.2102,                 1.4007,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.85353,                0.90038,                 1.1646,                0.00726,                 0.7095,                0.60626,                  0.658,                0.44001,                 1.1804,                 1.1946,                 1.4058,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.84169,                0.88231,                 1.1587,                0.00727,                0.70512,                0.60841,                0.65512,                0.44269,                 1.1669,                 1.1918,                 1.3854,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.85297,                0.88645,                 1.1599,                 0.0073,                0.71184,                0.60141,                0.65584,                0.44334,                 1.1694,                 1.2039,                 1.3953,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.84287,                0.88082,                 1.1534,                0.00722,                 0.6971,                0.61517,                 0.6667,                0.44869,                 1.1747,                 1.1974,                 1.3951,                      0,               0.002674,               0.002674,               0.002674
                     76,                 0.8346,                0.87239,                 1.1523,                0.00724,                0.72339,                0.58956,                0.65532,                 0.4438,                 1.1705,                 1.1927,                 1.3933,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.82515,                0.84824,                  1.152,                0.00725,                0.71537,                0.60471,                0.66023,                0.44346,                 1.1742,                 1.2052,                 1.3928,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.82887,                0.86232,                 1.1496,                0.00715,                0.74098,                0.59429,                0.66393,                0.45062,                 1.1735,                 1.1837,                    1.4,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.82482,                0.84787,                 1.1437,                0.00715,                 0.7035,                0.61528,                0.66464,                0.44939,                 1.1692,                 1.1825,                 1.3923,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.81787,                0.84407,                 1.1383,                0.00716,                0.72536,                0.60331,                0.66898,                0.45484,                  1.161,                 1.1695,                 1.3871,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.81027,                0.83056,                 1.1348,                0.00712,                0.72063,                0.62177,                0.67361,                 0.4568,                 1.1616,                 1.1768,                 1.3905,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.80116,                0.82437,                 1.1411,                0.00713,                0.71119,                0.61359,                0.66806,                 0.4552,                 1.1627,                 1.1924,                 1.3937,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.79695,                0.79939,                 1.1268,                0.00713,                0.72315,                 0.6076,                  0.673,                0.46005,                 1.1598,                 1.1808,                 1.3906,                      0,               0.001882,               0.001882,               0.001882
                     84,                  0.792,                0.80735,                 1.1252,                0.00705,                0.69977,                 0.6196,                0.67272,                0.45675,                 1.1621,                 1.1761,                 1.3906,                      0,               0.001783,               0.001783,               0.001783
                     85,                 0.7942,                0.80379,                 1.1266,                0.00713,                0.73022,                0.61399,                0.67366,                0.45814,                 1.1599,                   1.18,                 1.3924,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.78835,                0.79781,                 1.1273,                0.00701,                0.71743,                0.61361,                0.67265,                0.45754,                 1.1664,                 1.1808,                 1.3956,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.79341,                 0.8095,                 1.1291,                0.00705,                0.71857,                0.61495,                0.67832,                0.46262,                 1.1634,                 1.1642,                 1.3888,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.77904,                0.78566,                 1.1181,                0.00706,                0.71763,                0.61564,                0.67639,                0.46209,                 1.1543,                 1.1664,                 1.3848,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.76453,                0.77551,                 1.1143,                0.00713,                0.74229,                0.61525,                 0.6805,                0.46552,                 1.1563,                 1.1654,                 1.3867,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.72321,                0.63903,                 1.0745,                0.00611,                0.68662,                0.63026,                0.66689,                0.44945,                  1.166,                 1.1756,                 1.3983,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.70464,                 0.6039,                  1.062,                 0.0059,                0.73052,                0.60191,                0.67279,                0.45601,                 1.1636,                 1.1776,                 1.4011,                      0,                0.00109,                0.00109,                0.00109
                     92,                 0.6939,                0.59148,                 1.0537,                0.00584,                0.72847,                0.61547,                0.67639,                0.45947,                 1.1587,                 1.1692,                 1.3888,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.68148,                0.58044,                  1.046,                0.00584,                0.72875,                0.59928,                0.67348,                0.46024,                 1.1536,                 1.1775,                 1.3968,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.67854,                0.57856,                 1.0547,                0.00578,                 0.7299,                0.60302,                0.67335,                0.45955,                 1.1573,                 1.1761,                 1.3994,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.66381,                0.55916,                 1.0376,                0.00577,                0.71955,                0.61688,                0.67518,                0.46265,                 1.1502,                 1.1649,                 1.3973,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.66481,                0.55447,                  1.035,                 0.0057,                0.72128,                0.61742,                0.67799,                0.46238,                 1.1566,                  1.168,                 1.4044,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.65936,                0.54931,                 1.0335,                0.00567,                 0.7124,                0.62456,                0.68024,                0.46489,                 1.1494,                 1.1525,                 1.3943,                      0,               0.000496,               0.000496,               0.000496
                     98,                 0.6523,                0.54088,                 1.0219,                0.00571,                0.72128,                 0.6183,                0.67427,                0.46169,                 1.1534,                 1.1668,                 1.3971,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.64966,                0.54064,                 1.0232,                0.00566,                0.72898,                0.61717,                0.67658,                0.46417,                 1.1561,                 1.1645,                 1.4033,                      0,               0.000298,               0.000298,               0.000298
