                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0372,                   3.36,                 1.2949,                      0,                0.42184,                0.25676,                0.25131,                0.15803,                 1.2051,                 2.3794,                 1.4081,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.1881,                 2.5947,                 1.4035,                      0,                  0.468,                0.38249,                0.36771,                0.21783,                 1.3322,                 2.1258,                 1.5371,                      0,               0.039916,              0.0065294,              0.0065294
                      2,                 1.2934,                 2.5497,                 1.4783,                      0,                0.31718,                0.32732,                0.24512,                0.13139,                 1.5078,                 2.6714,                 1.7015,                      0,              0.0096521,              0.0095989,              0.0095989
                      3,                 1.4041,                 2.6832,                 1.5746,                      0,                0.33109,                0.29066,                0.24586,                0.12946,                 1.5304,                 2.5023,                 1.7228,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.3923,                 2.6278,                 1.5776,                      0,                 0.3748,                0.37762,                0.31663,                 0.1702,                 1.4814,                 2.2161,                 1.6871,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.3858,                 2.5608,                 1.5785,                      0,                 0.3586,                0.33968,                0.28001,                0.14642,                 1.5473,                 2.4174,                 1.7352,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.3741,                 2.5043,                 1.5759,                      0,                0.37959,                0.34594,                0.30664,                0.16217,                 1.5447,                 2.3577,                 1.7773,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.3541,                 2.3938,                 1.5732,                      0,                  0.393,                0.42803,                0.37597,                0.20916,                 1.4268,                 2.0502,                 1.6215,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.3095,                 2.3039,                 1.5345,                      0,                0.39656,                0.40318,                0.34135,                0.19043,                 1.4277,                 2.1271,                 1.6508,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.3119,                  2.235,                 1.5265,                      0,                 0.4729,                0.39969,                0.38195,                0.21535,                 1.4044,                 2.0427,                 1.6564,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.2918,                 2.1643,                 1.5098,                      0,                0.43727,                0.39449,                0.36898,                0.21208,                 1.4115,                 2.0139,                 1.6363,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.2692,                  2.099,                 1.5025,                      0,                0.49839,                0.41475,                0.42656,                0.24882,                 1.4023,                 1.9216,                 1.6172,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.2562,                 2.0626,                 1.4785,                      0,                0.48317,                0.46625,                0.44448,                0.26582,                 1.3399,                 1.9368,                 1.5609,                      0,               0.007822,               0.007822,               0.007822
