                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.038,                 3.3599,                 1.2934,                0.01121,                0.55563,                0.28341,                0.29328,                0.19045,                 1.1464,                 2.1835,                  1.366,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.1868,                  2.572,                 1.3978,                0.01091,                0.48003,                0.35089,                0.34509,                0.20189,                 1.4079,                 2.5687,                 1.6563,                      0,               0.039916,              0.0065294,              0.0065294
                      2,                 1.2903,                 2.5234,                 1.4684,                0.01083,                0.33241,                0.34658,                0.28798,                0.15859,                 1.5037,                 2.3792,                 1.7516,                      0,              0.0096521,              0.0095989,              0.0095989
                      3,                 1.3945,                 2.6668,                 1.5591,                0.01073,                0.34037,                0.35456,                 0.2776,                0.14223,                  1.567,                 2.3285,                 1.7187,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.4022,                 2.6636,                  1.593,                0.01068,                0.35609,                0.32502,                0.26135,                0.13326,                 1.5877,                 2.3718,                 1.7645,                      0,               0.009406,               0.009406,               0.009406
                      5,                  1.394,                 2.5454,                  1.577,                0.01062,                 0.4165,                0.38307,                0.34762,                0.19095,                 1.4725,                 2.2749,                  1.696,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.3542,                 2.4695,                 1.5622,                0.01051,                0.42189,                0.36359,                0.33746,                0.18538,                  1.488,                 2.1599,                  1.703,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.3618,                 2.3818,                 1.5696,                0.01042,                0.39136,                 0.3977,                0.34133,                 0.1906,                 1.4769,                 2.2804,                 1.6824,                      0,               0.008812,               0.008812,               0.008812
                      8,                  1.326,                 2.3125,                 1.5471,                0.01038,                0.40664,                0.42244,                0.36164,                0.20102,                 1.4331,                 2.0798,                 1.6504,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.3083,                 2.2464,                 1.5291,                0.01032,                0.43126,                0.42958,                0.39372,                0.22306,                  1.387,                 1.9825,                 1.6002,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.3003,                 2.1714,                 1.5139,                0.01035,                0.46637,                0.42278,                0.40868,                0.23769,                 1.3832,                 1.9159,                 1.5923,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.2653,                 2.1009,                 1.4992,                0.01027,                0.47701,                0.41901,                0.41045,                0.23578,                 1.4151,                 1.9636,                 1.6411,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.2494,                 2.0409,                 1.4731,                0.01019,                0.51928,                0.47034,                0.47368,                 0.2848,                 1.3225,                 1.7871,                  1.533,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.2532,                 2.0192,                 1.4798,                0.01015,                0.52218,                0.45551,                0.46753,                0.28039,                 1.3044,                 1.7966,                 1.5203,                      0,               0.007624,               0.007624,               0.007624
                     14,                  1.224,                 1.9262,                 1.4585,                0.01012,                0.52461,                0.45101,                0.46212,                0.27706,                 1.3483,                 1.8065,                  1.573,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.2113,                 1.9028,                 1.4565,                0.01007,                 0.5161,                0.48165,                0.47804,                0.28605,                 1.3075,                 1.7594,                 1.5297,                      0,               0.007228,               0.007228,               0.007228
                     16,                  1.181,                 1.8215,                 1.4242,                0.01001,                0.55192,                0.47657,                0.48955,                0.29594,                 1.3101,                 1.7804,                 1.5358,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.1888,                 1.7927,                  1.426,                0.00995,                0.53754,                0.47815,                0.48668,                0.29777,                 1.3069,                 1.7019,                 1.5541,                      0,               0.006832,               0.006832,               0.006832
                     18,                   1.18,                 1.7706,                 1.4218,                0.00997,                0.52745,                0.49071,                0.48854,                0.29411,                 1.3325,                 1.6937,                 1.5526,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.1646,                 1.7067,                 1.4095,                0.00995,                0.60671,                0.49857,                0.53589,                0.33264,                 1.2772,                 1.5797,                 1.4976,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.1716,                  1.706,                 1.4135,                0.00986,                0.58687,                0.50124,                0.53895,                 0.3361,                 1.2701,                 1.5471,                 1.4817,                      0,               0.006238,               0.006238,               0.006238
                     21,                 1.1327,                 1.6463,                 1.3877,                 0.0099,                0.60364,                0.50425,                0.53787,                0.33124,                 1.2905,                 1.5884,                 1.5113,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.1424,                 1.6369,                 1.3901,                0.00981,                0.58708,                0.53509,                0.55988,                0.35273,                 1.2367,                 1.5447,                 1.4592,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.1192,                 1.6116,                 1.3737,                0.00975,                0.60288,                 0.5313,                0.55657,                0.35298,                 1.2507,                 1.5101,                 1.4669,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.1017,                 1.5675,                 1.3573,                0.00973,                0.62905,                0.53636,                0.56492,                0.36076,                 1.2337,                 1.5119,                 1.4561,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.1034,                  1.552,                 1.3678,                0.00968,                0.63134,                0.54349,                0.58125,                0.37493,                 1.2147,                 1.4773,                 1.4421,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.0947,                 1.4951,                 1.3499,                0.00964,                0.63969,                0.53959,                 0.5861,                0.37419,                 1.2231,                 1.4751,                  1.449,                      0,                0.00505,                0.00505,                0.00505
                     27,                  1.089,                 1.4875,                 1.3536,                0.00971,                0.64777,                0.55169,                0.59207,                0.38212,                 1.2157,                 1.4398,                 1.4424,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.0679,                 1.4697,                 1.3359,                0.00963,                0.63794,                 0.5641,                 0.6034,                0.38782,                 1.2106,                 1.4155,                 1.4342,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.0554,                 1.4227,                 1.3334,                0.00955,                0.65212,                0.56219,                0.60126,                 0.3894,                 1.2044,                 1.3975,                 1.4227,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.0522,                  1.391,                 1.3133,                0.00948,                0.67245,                0.57457,                0.62464,                0.40454,                  1.203,                 1.3711,                 1.4298,                      0,               0.004258,               0.004258,               0.004258
                     31,                 1.0465,                 1.4138,                 1.3221,                0.00949,                0.66754,                0.55708,                0.60859,                0.39681,                 1.1808,                 1.3915,                  1.399,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.0308,                 1.3635,                 1.3124,                 0.0095,                0.65906,                0.56934,                0.61788,                 0.4023,                 1.1892,                 1.3761,                  1.414,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.0127,                 1.3348,                  1.302,                0.00956,                0.67364,                0.57645,                0.61918,                0.40702,                 1.1704,                 1.3427,                 1.3995,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.0208,                 1.3222,                 1.3014,                0.00938,                0.64749,                0.57769,                0.61135,                0.39311,                 1.1909,                 1.3717,                 1.4099,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.0009,                 1.3023,                 1.2885,                0.00936,                0.66926,                 0.5697,                0.61944,                0.40736,                 1.1792,                   1.33,                 1.3949,                      0,               0.003268,               0.003268,               0.003268
                     36,                0.99788,                 1.2971,                  1.284,                0.00939,                 0.6513,                0.58599,                0.62402,                0.40963,                 1.1782,                 1.3299,                 1.3951,                      0,                0.00307,                0.00307,                0.00307
