                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0411,                 3.3625,                 1.2928,                0.01213,                0.60453,                0.27671,                0.31481,                0.20914,                 1.0809,                 2.1656,                 1.3008,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.1841,                  2.568,                 1.3964,                0.01169,                0.46002,                0.42169,                0.40866,                0.24992,                 1.2337,                 2.0472,                 1.4335,                      0,               0.039916,              0.0065294,              0.0065294
                      2,                  1.284,                 2.5443,                 1.4651,                0.01154,                0.38831,                0.34912,                0.31422,                0.17051,                 1.4798,                 2.2733,                 1.6899,                      0,              0.0096521,              0.0095989,              0.0095989
                      3,                 1.4005,                 2.6834,                 1.5693,                0.01148,                0.33779,                0.32165,                0.25772,                0.13556,                 1.5642,                 2.7426,                 1.7892,                      0,               0.009406,               0.009406,               0.009406
                      4,                  1.399,                 2.6624,                 1.5832,                0.01135,                0.34492,                0.33777,                0.27822,                  0.147,                 1.5514,                 2.4014,                 1.7476,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.3998,                 2.5741,                 1.5887,                0.01116,                0.38986,                0.34433,                 0.2983,                 0.1614,                  1.495,                 2.2651,                 1.6855,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.3759,                 2.5059,                 1.5739,                0.01102,                 0.4014,                  0.393,                0.34234,                0.18555,                 1.4677,                 2.1862,                 1.6793,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.3567,                 2.3962,                 1.5689,                0.01086,                0.40741,                 0.3931,                0.34337,                0.18836,                 1.4732,                 2.2163,                 1.6867,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.3092,                 2.2976,                 1.5361,                0.01073,                0.41809,                 0.4227,                0.37536,                0.21406,                 1.3784,                 2.0354,                 1.5896,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.3068,                 2.2364,                 1.5244,                0.01064,                0.44925,                 0.4182,                0.38291,                0.22063,                 1.4158,                 2.0985,                  1.664,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.2954,                 2.1609,                 1.5138,                0.01065,                0.45737,                0.40147,                0.38522,                0.21996,                 1.4239,                 2.1117,                 1.6415,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.2668,                 2.0974,                 1.5054,                0.01048,                0.50003,                0.39824,                0.39973,                0.22744,                 1.4246,                 1.9776,                 1.6303,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.2464,                 2.0542,                 1.4825,                0.01035,                0.49871,                0.44445,                 0.4434,                0.26274,                 1.3507,                 1.9196,                 1.5776,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.2424,                 2.0201,                 1.4792,                0.01023,                0.50282,                0.47264,                0.46813,                 0.2812,                 1.3243,                 1.8319,                 1.5635,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.2245,                 1.9393,                 1.4659,                0.01017,                0.53488,                 0.4545,                0.47365,                0.28318,                 1.3111,                 1.7318,                 1.5193,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.2152,                 1.9088,                 1.4521,                0.01007,                0.53813,                 0.4904,                0.49138,                0.30186,                 1.3248,                 1.7168,                 1.5386,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.1838,                  1.838,                 1.4266,                0.00992,                0.54803,                0.49782,                0.50894,                0.30616,                 1.2856,                 1.6794,                  1.496,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.1923,                 1.7954,                 1.4235,                0.00981,                0.55838,                 0.4832,                0.50661,                 0.3111,                 1.2796,                  1.668,                 1.5085,                      0,               0.006832,               0.006832,               0.006832
                     18,                  1.174,                 1.7635,                 1.4144,                0.00982,                0.58237,                0.52512,                0.54137,                0.33253,                 1.2922,                 1.5801,                 1.5036,                      0,               0.006634,               0.006634,               0.006634
                     19,                  1.163,                 1.7142,                 1.4106,                0.00983,                0.55216,                0.52353,                0.53602,                0.33523,                 1.2603,                 1.5837,                 1.4843,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.1745,                 1.7091,                 1.4166,                0.00972,                 0.5887,                0.50399,                0.53999,                0.33711,                 1.2588,                 1.5498,                 1.4745,                      0,               0.006238,               0.006238,               0.006238
